question,answer
is restoril additive?,"RESTORIL is a federal controlled substance (C-IV) because it can be abused or lead to dependence. Keep
RESTORIL in a safe place to prevent misuse and abuse. Selling or giving away RESTORIL may harm others, and is against the law. Tell your healthcare provider if you have ever abused or been dependent on alcohol, prescription medicines or street drugs."
what is insuline and glucagon,"Glucagon is a peptide hormone, produced by alpha cells of the pancreas. It works to raise the concentration of glucose and fatty acids in the bloodstream, and is considered to be the main catabolic hormone of the body.[3] It is also used as a medication to treat a number of health conditions. Its effect is opposite to that of insulin, which lowers the extracellular glucose.[4]
The pancreas releases glucagon when the concentration of insulin (and indirectly glucose) in the bloodstream falls too low. Glucagon causes the liver to convert stored glycogen into glucose, which is released into the bloodstream.[5] High blood-glucose levels, on the other hand, stimulate the release of insulin. Insulin allows glucose to be taken up and used by insulin-dependent tissues. Thus, glucagon and insulin are part of a feedback system that keeps blood glucose levels stable. Glucagon increases energy expenditure and is elevated under conditions of stress.[6] Glucagon belongs to the secretin family of hormones."
how often do you need a shingles vaccine,The recommended schedule for live shingles vaccine is a single dose for adults 60 years of age and older.
how does rivatigmine and otc sleep medicine interact,"tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: antihistamines; aspirin and other nonsteroidal anti-inflammatory medications (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn); bethanechol (Duvoid, Urecholine); ipratropium (Atrovent, in Combivent, DuoNeb); and medications for Alzheimer's disease, glaucoma, irritable bowel disease, motion sickness, ulcers, or urinary problems. Your doctor may need to change the doses of your medications or monitor you carefully for side effects."
what is bisolvon,Bromhexine hydrochloride is a hydrochloride resulting from the reaction of equimolar amounts of bromhexine and hydrogen chloride. It is used as a mucolytic for the treatment of respiratory disorders associated with productive cough (i.e. a cough characterised by the production of sputum). It has a role as a mucolytic. It contains a bromhexine(1+).
how is nicotine taken,"Nicotine supplements come in many forms:

Gum
Inhalers
Lozenges
Nasal spray
Skin patch
All of these work well if they are used correctly. People are more likely to use the gum and patches correctly than other forms."
what does valacyclovir 1gm cure?,"Valacyclovir tablets, USP are a prescription antiviral medicine. Valacyclovir tablets, USP lower the ability of herpes viruses to multiply in your body.

Valacyclovir tablets, USP are used in adults:

to treat cold sores (also called fever blisters or herpes labialis)
to treat shingles (also called herpes zoster)
to treat or control genital herpes outbreaks in adults with normal immune systems
to control genital herpes outbreaks in adults infected with the human immunodeficiency virus (HIV) with CD4 + cell count greater than 100 cells/mm3
with safer sex practices to lower the chances of spreading genital herpes to others. Even with safer sex practices, it is still possible to spread genital herpes.
Valacyclovir tablets, USP used daily with the following safer sex practices can lower the chances of passing genital herpes to your partner.

Do not have sexual contact with your partner when you have any symptom or outbreak of genital herpes.
Use a condom made of latex or polyurethane whenever you have sexual contact.
Valacyclovir tablets, USP are used in children:

to treat cold sores (for children ≥ 12 years of age)
to treat chickenpox (for children 2 to < 18 years of age)."
what is contraindication of carbamazepine,"Carbamazepine should not be used in patients with a history of previous bone marrow depression, hypersensitivity to the drug, or known sensitivity to any of the tricyclic compounds, such as amitriptyline, desipramine, imipramine, protriptyline, nortriptyline, etc. Likewise, on theoretical grounds its use with monoamine oxidase (MAO) inhibitors is not recommended. Before administration of carbamazepine, MAO inhibitors should be discontinued for a minimum of 14 days, or longer if the clinical situation permits.

Coadministration of carbamazepine and nefazodone may result in insufficient plasma concentrations of nefazodone and its active metabolite to achieve a therapeutic effect. Coadministration of carbamazepine with nefazodone is contraindicated."
how long do the side effects last after taking medroxyprogesterone,Unanswerable
what is the side effect of bp medicine on brain?,"Cough
    Diarrhea or constipation
    Dizziness or lightheadedness
    Erection problems
    Feeling nervous
    Feeling tired, weak, drowsy, or a lack of energy
    Headache
    Nausea or vomiting
    Skin rash
    Weight loss or gain without trying"
what color is phenytoin,ORANGE (/orange)
what is shingrix (rzv) recombinant vaccine,"CDC recommends that healthy adults 50 years and older get two doses of the shingles vaccine called Shingrix (recombinant zoster vaccine), separated by 2 to 6 months, to prevent shingles and the complications from the disease. Your doctor or pharmacist can give you Shingrix as a shot in your upper arm.

Shingrix provides strong protection against shingles and PHN. Two doses of Shingrix is more than 90% effective at preventing shingles and PHN. Protection stays above 85% for at least the first four years after you get vaccinated. Shingrix is the preferred vaccine, over Zostavax® (zoster vaccine live), a shingles vaccine in use since 2006."
is dronabinol marijuana how much are ten mg pills worth,Quantity: 60; Per Unit: $4.68 – $15.91; Price: $280.99 – $954.47
pneumococcal vaccine how often,"CDC recommends routine administration of pneumococcal conjugate vaccine (PCV13 or Prevnar13®) for all children younger than 2 years of age:

Give PCV13 to infants as a series of 4 doses, one dose at each of these ages: 2 months, 4 months, 6 months, and 12 through 15 months.
Children who miss their shots or start the series later should still get the vaccine. The number of doses recommended and the intervals between doses will depend on the child’s age when vaccination begins.
Immunization Schedules

 HCP adult and child schedules
View current schedules for children, teens, and adults.

CDC recommends pneumococcal vaccination (PCV13 or Prevnar13®, and PPSV23 or Pneumovax23®) for all adults 65 years or older:

Give a dose of PCV13 to adults 65 years or older who have not previously received a dose. Then administer a dose of PPSV23 at least 1 year later.
If the patient already received one or more doses of PPSV23, give the dose of PCV13 at least 1 year after they received the most recent dose of PPSV23."
"how to use ivermectin ""derm gard"" for dog",No answers
"how long can you be on clopidogrel ""&"" aspirin combined for","The following are key points to remember about the updated guideline on duration of dual antiplatelet therapy (DAPT) in patients with coronary artery disease (CAD):

The scope of this focused update is limited to addressing recommendations on duration of DAPT (aspirin plus a P2Y12 inhibitor) in patients with coronary artery disease (CAD).
Intensification of antiplatelet therapy, with the addition of a P2Y12 inhibitor to aspirin monotherapy, and prolongation of DAPT, necessitate a fundamental tradeoff between decreasing ischemic risk and increasing bleeding risk. Decisions regarding treatment with and duration of DAPT require a thoughtful assessment of the benefit/risk ratio, integration of study data, and patient preference.
Recommendations in the document apply specifically to duration of P2Y12 inhibitor therapy in patients with CAD treated with DAPT. Aspirin therapy should almost always be continued indefinitely in patients with CAD.
Lower daily doses of aspirin, including in patients treated with DAPT, are associated with lower bleeding complications and comparable ischemic protection compared with higher doses of aspirin. The recommended daily dose of aspirin in patients treated with DAPT is 81 mg (range 75–100 mg).
In patients with stable ischemic heart disease (SIHD) treated with DAPT after drug-eluting stent (DES) implantation, P2Y12 inhibitor therapy with clopidogrel should be given for at least 6 months (Class I). In patients with SIHD treated with DAPT after bare-metal stent (BMS) implantation, P2Y12 inhibitor therapy (clopidogrel) should be given for a minimum of 1 month (Class I).
In patients with SIHD treated with DAPT after BMS or DES implantation who have tolerated DAPT without a bleeding complication and who are not at high bleeding risk (e.g., prior bleeding on DAPT, coagulopathy, oral anticoagulant use), continuation of DAPT with clopidogrel for longer than 1 month in patients treated with BMS or longer than 6 months in patients treated with DES may be reasonable (Class IIb).
In patients with acute coronary syndrome (ACS) (non-ST elevation [NSTE]-ACS or ST elevation myocardial infarction [STEMI]) treated with DAPT after BMS or DES implantation, P2Y12 inhibitor therapy (clopidogrel, prasugrel, or ticagrelor) should be given for at least 12 months (Class I).
In patients with ACS (NSTE-ACS or STEMI) treated with coronary stent implantation who have tolerated DAPT without a bleeding complication and who are not at high bleeding risk (e.g., prior bleeding on DAPT, coagulopathy, oral anticoagulant use), continuation of DAPT (clopidogrel, prasugrel, or ticagrelor) for longer than 12 months may be reasonable (Class IIb). A new risk score (the “DAPT score”), derived from the Dual Antiplatelet Therapy study, may be useful for decisions about whether to continue (prolong or extend) DAPT in patients treated with coronary stent implantation.
In patients with ACS (NSTE-ACS or STEMI) treated with DAPT after coronary stent implantation and in patients with NSTE-ACS treated with medical therapy alone (without revascularization), it is reasonable to use ticagrelor in preference to clopidogrel for maintenance P2Y12 inhibitor therapy (Class IIa). Among those who are not at high risk for bleeding complications and who do not have a history of stroke or transient ischemic attack, it is reasonable to choose prasugrel over clopidogrel for maintenance P2Y12 inhibitor therapy (Class IIa).
In patients with ACS (NSTE-ACS or STEMI) being treated with DAPT who undergo coronary artery bypass grafting (CABG), P2Y12 inhibitor therapy should be resumed after CABG to complete 12 months of DAPT therapy after ACS (Class I).
In patients with STEMI treated with DAPT in conjunction with fibrinolytic therapy, P2Y12 inhibitor therapy (clopidogrel) should be continued for a minimum of 14 days and ideally at least 12 months (Class I).
Elective noncardiac surgery should be delayed 30 days after BMS implantation and optimally 6 months after DES implantation. In patients treated with DAPT after coronary stent implantation who must undergo surgical procedures that mandate the discontinuation of P2Y12 inhibitor therapy, it is recommended that aspirin be continued if possible and the P2Y12 platelet receptor inhibitor be restarted as soon as possible after surgery (Class I)."
why is losartin prescribed rather than a calcium channel blocker.,"Losartan is in a class of medications called angiotensin II receptor antagonists. It works by blocking the action of certain natural substances that tighten the blood vessels, allowing the blood to flow more smoothly and the heart to pump more efficiently."
what are fat soluable vitamins.,"As is the case with all dietary supplements, the decision to use supplemental vitamins should not be taken lightly, says Vasilios Frankos, Ph.D., Director of FDA's Division of Dietary Supplement Programs.
""Vitamins are not dangerous unless you get too much of them,"" he says. ""More is not necessarily better with supplements, especially if you take fat-soluble vitamins.” For some vitamins and minerals, the National Academy of Sciences has established upper limits of intake (ULs) that it recommends not be exceeded during any given day. (For more information, visit www.nap.edu/catalog.php?record_id=6432#toc

Also, the AAFP lists the following side effects that are sometimes associated with taking too much of a vitamin.

Fat-soluble Vitamins

A (retinol, retinal, retinoic acid): Nausea, vomiting, headache, dizziness, blurred vision, clumsiness, birth defects, liver problems, possible risk of osteoporosis. You may be at greater risk of these effects if you drink high amounts of alcohol or you have liver problems, high cholesterol levels or don't get enough protein.
D (calciferol): Nausea, vomiting, poor appetite, constipation, weakness, weight loss, confusion, heart rhythm problems, deposits of calcium and phosphate in soft tissues.
If you take blood thinners, talk to your doctor before taking vitamin E or vitamin K pills."
how should i dilute ceftriaxone injection?,"Ceftriaxone has been shown to be compatible with Flagyl®*IV (metronidazole hydrochloride). The concentration should not exceed 5 to 7.5 mg/mL metronidazole hydrochloride with ceftriaxone 10 mg/mL as an admixture. The admixture is stable for 24 hours at room temperature only in 0.9% sodium chloride injection or 5% dextrose in water (D5W). No compatibility studies have been conducted with the Flagyl®*IV RTU® or using other diluents. Metronidazole at concentrations greater than 8 mg/mL will precipitate. Do not refrigerate the admixture as precipitation will occur.

Vancomycin and fluconazole are physically incompatible with ceftriaxone in admixtures. When either of these drugs is to be administered concomitantly with ceftriaxone by intermittent intravenous infusion, it is recommended that they be given sequentially, with thorough flushing of the intravenous lines (with one of the compatible fluids) between the administrations.

Do not use diluents containing calcium, such as Ringer’s solution or Hartmann’s solution, to reconstitute ceftriaxone for injection. Particulate formation can result.

Ceftriaxone solutions should not be physically mixed with or piggybacked into solutions containing other antimicrobial drugs or into diluent solutions other than those listed above, due to possible incompatibility (see WARNINGS)."
what is in norvasc,"ACTIVE INGREDIENT-AMLODIPINE BESYLATE; INACTIVE INGREDIENTS-MICROCRYSTALLINE CELLULOSE, ANHYDROUS DIBASIC CALCIUM PHOSPHATE, SODIUM STARCH GLYCOLATE TYPE A POTATO, MAGNESIUM STEARATE"
enoxaparin shot admin they injected into my kidney what will i do,"If patients have had neuraxial anesthesia or spinal puncture, and particularly, if they are taking concomitant NSAIDs, platelet inhibitors, or other anticoagulants, they should be informed to watch for signs and symptoms of spinal or epidural hematoma, such as tingling, numbness (especially in the lower limbs) and muscular weakness. If any of these symptoms occur the patient should contact his or her physician immediately.  Additionally, the use of aspirin and other NSAID's may enhance the risk of hemorrhage. Their use should be discontinued prior to enoxaparin therapy whenever possible; if co-administration is essential, the patient's clinical and laboratory status should be closely monitored [see Drug Interactions (7)].  Patients should also be informed:      of the instructions for injecting Enoxaparin Sodium Injection if their therapy is to continue after discharge from the hospitals.     it may take them longer than usual to stop bleeding.     they may bruise and/or bleed more easily when they are treated with Enoxaparin Sodium Injection.     they should report any unusual bleeding, bruising, or signs of thrombocytopenia (such as a rash of dark red spots under the skin) to their physician [see Warnings and Precautions (5.1, 5.5)].     to tell their physicians and dentists they are taking Enoxaparin Sodium Injection and/or any other product known to affect bleeding before any surgery is scheduled and before any new drug is taken [see Warnings and Precautions (5.3)].     to tell their physicians and dentists of all medications they are taking, including those obtained without a prescription, such as aspirin or other NSAID's [see Drug Interactions (7)]."
what drugs contain in estrone injection,"Estrone, sold under the brand names Estragyn, Kestrin, and Theelin among many others, is an estrogen medication and naturally occurring steroid hormone which has been used in menopausal hormone therapy and for other indications.[5][8][9][10][1][2] It has been available as an aqueous suspension or oil solution that is given by injection into muscle and as a vaginal cream that is applied inside of the vagina.[1][2][3][4] It can also be taken by mouth in the form of estrone sulfate, as in estropipate (piperazine estrone sulfate; Ogen) and conjugated estrogens (Premarin).[11][2][5]"
what is the normal dose of clindamycin,Adults: Serious infections - 150 to 300 mg every 6 hours. More severe infections - 300 to 450 mg every 6 hours.
remipril compatible with cabergoline?,"Cabergoline: (Minor) Cabergoline has minimal affinity for adrenergic receptors; however, it has been associated with hypotension in some instances. Cabergoline should be used cautiously in those receiving antihypertensive agents."
is it alright to use fluticasone when using oxygen,"Pharmacological therapy can influence morbidity and mortality in severe chronic obstructive pulmonary disease (COPD). Long-term domiciliary oxygen therapy (LTOT) improves survival in COPD with chronic hypoxaemia. Oral steroid medication has been associated with improved survival in men and increased mortality in women, while inhaled steroid medication has been associated with a reduction in the exacerbation rate. We have analysed the relationships between pharmacological therapy including oxygen therapy, sex, performance status and need for hospitalization and mortality in 403 patients with COPD (201 men) after their registration in a national oxygen register for LTOT. The mean value of days spent in hospital per year was 44. An increased need of hospital care was independently predicted by a poor performance status, high age and, in women, orally administered steroid medication. Hospital admissions were significantly longer in the terminal stage of COPD among women receiving oral steroid medication. Increased mortality was predicted by a poor performance status and, in women, oral steroid treatment. Predictors of morbidity and mortality during LTOT were found to coincide. The increased mortality in women receiving oral steroid medication was found to be associated with an increased need of hospital care due to longer hospital stays during the terminal stage of the disease. When analysing effects and side-effects of steroid medication in COPD, the possibility of sex-related differences should be considered."
how 9is cyanocobalamin adminitsered,"Cyanocobalamin comes as a solution (liquid) to be injected into a muscle or just under the skin. It is usually injected by a healthcare provider in an office or clinic. You will probably receive cyanocobalamin injection once a day for the first 6-7 days of your treatment. As your red blood cells return to normal, you will probably receive the medication every other day for 2 weeks, and then every 3-4 days for 2-3 weeks. After your anemia has been treated, you will probably receive the medication once a month to prevent your symptoms from coming back."
what is magnesium chelated good for,Chelated magnesium is used as a supplement to maintain adequate magnesium in the body.
levodopa carbidopa what will these drugs do to me if i take alcohol,Alcohol can make the side effects from levodopa and carbidopa worse.
what is diclofenac sodium topical gel used for,"Diclofenac topical gel (Voltaren) is used to relieve pain from osteoarthritis (arthritis caused by a breakdown of the lining of the joints) in certain joints such as those of the knees, ankles, feet, elbows, wrists, and hands. 
Diclofenac is also available as a 3% gel (Solaraze; generic) that is applied to the skin to treat actinic keratosis (flat, scaly growths on the skin caused by too much sun exposure)."
"what help withdrawal ""fom."" hydrocodone 10 35",Narcotics Anonymous (N.A.) assists people who want to stop abusing prescription or illegal drugs. Find a meeting center or online support group by searching for the local helpline or website for the area where the meeting is located.
what strength dose triamcinolone come in,"cream/ointment    0.025%    0.05%    0.1%    0.5%, lotion    0.025%    0.1%, dental paste    0.1%, aerosol solution    0.0147%"
how to identify clonidine tablets,Product Characteristics Color WHITE Score no score Shape ROUND (biconvex) Size 6mm Flavor Imprint Code A;16
is it safe for a 72 year old to stop taking premarin?,"Use of estrogen-alone, or in combination with a progestin, should be with the lowest effective dose and for the shortest duration consistent with treatment goals and risks for the individual woman. Postmenopausal women should be re-evaluated periodically as clinically appropriate to determine if treatment is still necessary."
what is the highest dose lidocaine comes in,"Group: local anaesthetic agent
Injection (hydrochloride): 5 mg/ml (0.5%), 10 mg/ml (1%) in 20-ml ampoule; 10 mg/ml (1%) + epinephrine 5 micrograms/ml (1:200 000) in 20-ml ampoule; 20 mg/ml (2%) + epinephrine 12.5 micrograms/ml (1:80 000) in 2.2-ml cartridge for dental anaesthesia; 50 mg/ml (5%) in 2-ml ampoule to be mixed with 75 mg/ml (7.5%) glucose solution
Topical forms: 20-40 mg (hydrochloride)/ml (2-4%) as gel or solution"
how much is 5ml in cough syrup?,A standard dosing teaspoon holds 5ml.
what color is phenytoin,PINK
"why finasteride is not allowed by prostate ""cancer?""","Used for symptomatic treatment of BPH and male pattern baldness (i.e., androgenetic alopecia)
May decrease risk of low-grade prostate cancer; but, may increase risk of more serious high-grade prostate cancer"
what are contraindications for kadian,"KADIAN is contraindicated in patients with

Significant respiratory depression
Acute or severe bronchial asthma in an unmonitored setting or in the absence of resuscitative equipment
Known or suspected paralytic ileus
Hypersensitivity (e.g., anaphylaxis) to morphine"
what types of insulin for resistance,Insulin sensitizers like Glucophage (Metformin) may be prescribed to help your body use insulin more effectively.
how much gravol to kill you,"Dimenhydrinate is a type of medicine called an antihistamine.

Dimenhydrinate overdose occurs when someone takes more than the normal or recommended amount of this medicine. This can be by accident or on purpose.

This article is for information only. DO NOT use it to treat or manage an actual overdose. If you or someone you are with has an overdose, call your local emergency number (such as 911), or your local poison center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States. 

Poisonous Ingredient
Dimenhydrinate can be harmful in large amounts.

Where Found
Dimenhydrinate is found in some allergy medicines. It is also in some medicines used to treat nausea, vomiting, and motion sickness.

It may be in medicines with these brand names:

Dramamine
Gravol
Marmine
Nico-Vert
Triptone
Dimenhydrinate may also be found in other medicines.

Symptoms
Below are symptoms of a dimenhydrinate overdose in different parts of the body.

BLADDER AND KIDNEYS

Inability to urinate
EYES, EARS, NOSE, MOUTH, AND THROAT

Blurred vision
Dry mouth
Enlarged pupils
Very dry eyes
Ringing in the ears
HEART AND BLOOD VESSELS

Low blood pressure
Rapid heartbeat
NERVOUS SYSTEM

Agitation
Confusion
Seizures
Delirium
Depression
Drowsiness
Hallucinations (seeing or hearing things that aren't there)
Increased sleepiness
Nervousness
Tremor
Unsteadiness
SKIN

Dry, red skin
STOMACH AND INTESTINES

Nausea
Vomiting"
how long can i take ibuprofen,"It's safe to take ibuprofen regularly for many years if you need to as long as you don't take more than the recommended dosage.
If you need to take ibuprofen by mouth for a long time and you're at risk of getting a stomach ulcer, your doctor may prescribe a medicine to help protect your stomach."
what is a biologic,"Biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. Biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues. Biologics are isolated from a variety of natural sources - human, animal, or microorganism - and may be produced by biotechnology methods and other cutting-edge technologies. Gene-based and cellular biologics, for example, often are at the forefront of biomedical research, and may be used to treat a variety of medical conditions for which no other treatments are available."
shingrix vaccine how often do you get a shingles shot,"Shingles Vaccine (recombinant)  Two doses, 2 to 6 months apart, are recommended for adults 50 and older.  This vaccine is also recommended for people who have already gotten the live shingles vaccine (Zostavax). There is no live virus in this vaccine."
what does vitamin a prevent,Vitamin A plays a role in your    Vision    Bone growth    Reproduction    Cell functions    Immune system
cephalexin is for what sexual diseases,"Cephalexin is used to treat certain infections caused by bacteria such as pneumonia and other respiratory tract infections; and infections of the bone, skin, ears, , genital, and urinary tract. Cephalexin is in a class of medications called cephalosporin antibiotics. It works by killing bacteria.

Antibiotics such as cephalexin will not work for colds, flu, or other viral infections. Using antibiotics when they are not needed increases your risk of getting an infection later that resists antibiotic treatment."
what is the normal dose of lactulose,"The usual dose is 1 to 2 tablespoonfuls (15 to 30 mL, containing 10 g to 20 g of lactulose) daily."
do prescription antacids help prevent reocurrence of arts?,"Antacids help to treat heartburn (indigestion). They work by neutralizing the stomach acid that causes heartburn.

You can buy many antacids without a prescription. Liquid forms work faster, but you may like tablets because they are easy to use.

All antacids work equally well, but they can cause different side effects. If you use antacids often and have problems with side effects, talk with your health care provider."
what does it look like/metoprolol,"25 mg tablets: White to off-white color, oval shaped, biconvex coated tablets, debossed with ""564"" on one side and break line on the other side.

50 mg tablets: White to off-white color, round shaped, biconvex coated tablets, debossed with ""565"" on one side and break line on the other side.

100 mg tablets: White to off-white color, round shaped, biconvex coated tablets, debossed with ""566"" on one side and break line on other side.

200 mg tablets: White to off-white color, oval shaped, biconvex coated tablets, debossed with ""5"" and ""67"" on either side of break line and plain on the other side."
freezing clotrimazole?,store at temperature not exceeding 30°C (86°F). Do not freeze.
pneumonia vaccine is good for how long?,Do not use any pneumococcal vaccine beyond the expiration date printed on the label.
what meloxicam look like,Product Characteristics Color YELLOW (light yellow) Score no score Shape OVAL Size 3mm Imprint Code S160
what is dosage/quetiapine,"2.1 Schizophrenia 

Adults

Dose Selection— SEROQUEL should generally be administered with an initial dose of 25 mg twice daily, with increases in total daily dose of 25 mg - 50 mg divided in two or three doses on the second and third day, as tolerated, to a total dose range of 300 mg to 400 mg daily by the fourth day. Further dosage adjustments, if indicated, should generally occur at intervals of not less than 2 days, as steady-state for SEROQUEL would not be achieved for approximately 1-2 days in the typical patient. When dosage adjustments are necessary, dose increments/decrements of 25 mg - 50 mg divided twice daily are recommended. Most efficacy data with SEROQUEL were obtained using three times daily dosing regimens, but in one controlled trial 225 mg given twice per day was also effective. 

Efficacy in schizophrenia was demonstrated in a dose range of 150 mg/day to 750 mg/day in the clinical trials supporting the effectiveness of SEROQUEL. In a dose response study, doses above 300 mg/day were not demonstrated to be more efficacious than the 300 mg/day dose. In other studies, however, doses in the range of 400 mg/day - 500 mg/day appeared to be needed. The safety of doses above 800 mg/day has not been evaluated in clinical trials."
heroin mixed with fentanyl what are the symptoms of an overdose,"People use heroin to get high. But if they overdose on it, they get extremely sleepy or may become unconsciousness and stop breathing.

Below are symptoms of a heroin overdose in different parts of the body."
how is tetracycline metabolized?,Tetracyclines are readily absorbed and are bound to plasma proteins in varying degrees. They are concentrated by the liver in the bile and excreted in the urine and feces at high concentrations in a biologically active form.
what is formoterol,Formoterol is an ADRENERGIC BETA-2 RECEPTOR AGONIST with a prolonged duration of action. It is used to manage ASTHMA and in the treatment of CHRONIC OBSTRUCTIVE PULMONARY DISEASE.
what is the color of the fluvaastatin pill,Product Characteristics   Color RED (rust)
what color is phenytoin,WHITE (/Light Lavender)
neupro and ropinirole when is it safe to take,"Switching from oral dopamine agonists to rotigotine: An open-label study of 99 subjects with Parkinson’s disease was conducted in which the subjects, previously treated with 3 to 12mg/day ropinirole with or without levodopa, were converted to treatment with transdermal rotigotine. The following dosage conversion was utilized; 3mg/day ropinirole to 2mg/24 hours rotigotine, 6mg/day ropinirole to 4mg/24 hours rotigotine, 8-9mg/day ropinirole to 6mg/24 hours rotigotine, 12mg/day ropinirole to 8mg/24 hours rotigotine. Patients were instructed to take their last dose of ropinirole in the afternoon or evening, applying a rotigotine patch the next morning upon awakening. Overall this study determined that an overnight switch from ropinirole to rotigotine was generally well tolerated without loss of efficacy."
how you use for paracetamol,Acetaminophen
why would my urine test be negative for benzodiazepines when i take ativan,"Common limitations exist for screening benzodiazepines when using traditional immunoassay (IA) tests. IA testing for benzodiazepines often targets nordiazepam and oxazepam to measure whether an antibody-antigen response occurs, resulting in a positive or negative test result. Other benzodiazepine compounds are tested for their ability to cross react with the target drug in an IA technique. In other words, low cross-reactivity of other drugs can result in false negatives for the other benzodiazepines. || Some commonly prescribed drugs have limited cross-reactivity. For example, lorazepam and 7-aminoclonazepam, the primary metabolite of clonazepam, have limited cross-reactivity with traditional IAs due to their molecular structures. Therefore, it is not uncommon for a laboratory to obtain a “negative” IA result for lorazepam and 7-aminoclonazepam that is indeed positive once confirmation testing with a mass spectrometer (MS) is performed."
is it safe to take toradol when breast feeding,"Nursing Mothers
Limited data from one published study involving 10 breastfeeding women 2 to 6 days postpartum showed low levels of ketorolac in breast milk. Levels were undetectable (less than 5 ng/mL) in 4 of the patients. After a single administration of 10 mg of ketorolac tromethamine tablets, the maximum milk concentration observed was 7.3 ng/mL, and the maximum milk-to-plasma ratio was 0.037. After 1 day of dosing (10 mg every 6 hours), the maximum milk concentration was 7.9 ng/mL, and the maximum milk-to-plasma ratio was 0.025. Assuming a daily intake of 400 to 1,000 mL of human milk per day and a maternal body weight of 60 kg, the calculated maximum daily infant exposure was 0.00263 mg/kg/day, which is 0.4% of the maternal weight-adjusted dose.

Exercise caution when ketorolac is administered to a nursing woman. Available information has not shown any specific adverse events in nursing infants; however, instruct patients to contact their infant's health care provider if they note any adverse events."
1 mg ativan ccis a small does of ativan for adults?,"Ativan (lorazepam) is administered orally. For optimal results, dose, frequency of administration, and duration of therapy should be individualized according to patient response. To facilitate this, 0.5 mg, 1 mg, and 2 mg tablets are available. The usual range is 2 to 6 mg/day given in divided doses, the largest dose being taken before bedtime, but the daily dosage may vary from 1 to 10 mg/day. For anxiety, most patients require an initial dose of 2 to 3 mg/day given two times a day or three times a day. For insomnia due to anxiety or transient situational stress, a single daily dose of 2 to 4 mg may be given, usually at bedtime. For elderly or debilitated patients, an initial dosage of 1 to 2 mg/day in divided doses is recommended, to be adjusted as needed and tolerated. The dosage of Ativan (lorazepam) should be increased gradually when needed to help avoid adverse effects. When higher dosage is indicated, the evening dose should be increased before the daytime doses."
what exactly is butalbital,"Butalbital, 5-allyl-5-isobutylbarbituric acid, is a barbiturate with an intermediate duration of action."
pneumococcal vaccine how often?,The pneumococcal polysaccharide vaccine (PPSV23 or Pneumovax®) protects against 23 types of pneumococcal bacteria. CDC recommends it for all adults 65 years or older and for those 2 years or older at increased risk for disease.
what is clotrimazole and betamethasone dipropionage cream,"Clotrimazole and betamethasone dipropionate cream is a combination of an azole antifungal and corticosteroid and is indicated for the topical treatment of symptomatic inflammatory tinea pedis, tinea cruris, and tinea corporis due to Epidermophyton floccosum, Trichophyton mentagrophytes, and Trichophyton rubrum in patients 17 years and older."
what shape is the amlodipine pill,DIAMOND (DIAMOND)
why is vitamin a important to the body,"Vitamins are substances that your body needs to grow and develop normally. Vitamin A plays a role in your

Vision
Bone growth
Reproduction
Cell functions
Immune system
Vitamin A is an antioxidant. It can come from plant or animal sources. Plant sources include colorful fruits and vegetables. Animal sources include liver and whole milk. Vitamin A is also added to foods like cereals.

Vegetarians, young children, and alcoholics may need extra Vitamin A. You might also need more if you have certain conditions, such as liver diseases, cystic fibrosis, and Crohn's disease. Check with your health care provider to see if you need to take vitamin A supplements."
vitamin b strong compound is used for what medical condition?,"For the treatment of clinical and sub-clinical vitamin B deficiency states (manifestations of which include glossitis, stomatitis, cheilosis, the heart manifestations of beriberi, the skin manifestations of pellagra, corneal vascularisation and polyneuritis)."
nitrofurantoin generic for?,"Furadantin® Tablets¶
Furadantin® Oral Suspension
Furalan®¶
Macrobid®
Macrodantin®"
"shingles vaccine , is it necessary to get a 2nd shot?",The recommended schedule for live shingles vaccine is a single dose for adults 60 years of age and older.
what drug will cause frequent urination?,A number of medications can cause urinary incontinence in men and women. They do this in a variety of different ways.
what is asa ec,Acetylsalicylic acid [Aspirin] … Enteric coated tablet … Asa EC
