Question,Focus (Drug),Question Type,Answer,Section Title,URL
what is aldactazide used for,Aldactazide,Indication,"The combination of spironolactone and hydrochlorothiazide is used to treat high blood pressure. This medication is also used to treat patients with edema (fluid retention) caused by various conditions, including heart, liver, or kidney disease. Spironolactone is in a class of medications called aldosterone receptor antagonists. It causes the kidneys to eliminate unneeded water and sodium from the body into the urine, but reduces the loss of potassium from the body. Hydrochlorothiazide is in a class of medications called diuretics (''water pills''). It works by causing the kidneys to get rid of unneeded water and salt from the body into the urine.",Why is this medication prescribed?,https://medlineplus.gov/druginfo/meds/a601111.html
how does insulin work?,Insulin,Action,"Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to serious problems with your heart, eyes, kidneys, nerves, and gums and teeth.",Summary,https://medlineplus.gov/diabetestype1.html
how to use albuterol oral inhalation demonstration video,Albuterol,Usage,"To inhale the aerosol using an inhaler, follow these steps:
Remove the protective dust cap from the end of the mouthpiece. If the dust cap was not placed on the mouthpiece, check the mouthpiece for dirt or other objects. Be sure that the canister is fully and firmly inserted in the mouthpiece.
If you are using the inhaler for the first time or if you have not used the inhaler in more than 14 days, you will need to prime it. You may also need to prime the inhaler if it has been dropped. Ask your pharmacist or check the manufacturer's information if this happens. To prime the inhaler, shake it well and then press down on the canister 4 times to release 4 sprays into the air, away from your face. Be careful not to get albuterol in your eyes.
Shake the inhaler well.
Breathe out as completely as possible through your mouth.
Hold the canister with the mouthpiece on the bottom, facing you and the canister pointing upward. Place the open end of the mouthpiece into your mouth. Close your lips tightly around the mouthpiece.
Breathe in slowly and deeply through the mouthpiece.At the same time, press down once on the container to spray the medication into your mouth.
Try to hold your breath for 10 seconds. remove the inhaler, and breathe out slowly.
If you were told to use 2 puffs, wait 1 minute and then repeat steps 3-7.
Replace the protective cap on the inhaler.
Clean your inhaler regularly. Follow the manufacturer's directions carefully and ask your doctor or pharmacist if you have any questions about cleaning your inhaler.
To inhale the powder using the inhaler, follow these steps. Do not use the Respiclick inhaler with a spacer:
If you will be using a new inhaler for the first time, remove it from the foil wrapper. Look at the dose counter at the back of the inhaler and check that you see the number 200 in the window.
Holding the inhaler upright, with the cap on the bottom and the inhaler pointing upwards, load the dose by opening the protective dust cap at the end of the mouthpiece until it clicks. Do not open the cap unless you are ready to use the inhaler. Every time the protective cap is opened, a dose is ready to inhale. You will see the number in the dose counter go down. Do not waste doses by opening the inhaler unless you are inhaling a dose.
Breathe out as completely as possible through your mouth. Do not blow or exhale into the inhaler.
Place the mouthpiece between your lips well into your mouth. Close your lips tightly around the mouthpiece. Inhale slowly and deeply through your mouth. Do not breath in through your nose. Make sure that your fingers or lips do not block the vent above the mouthpiece.
Remove the inhaler from your mouth and hold your breath for 10 seconds or as long as you comfortably can. Do not blow or exhale through the inhaler.
Close the cap firmly over the mouthpiece.
If you are to inhale 2 puffs, repeat steps 2-6.
Keep the inhaler clean and dry at all times. To clean your inhaler, use a clean, dry tissue or cloth. Do not wash or put any part of your inhaler in water.
To inhale the solution using a nebulizer, follow these steps;
Remove one vial of albuterol solution from the foil pouch. Leave the rest of the vials in the pouch until you are ready to use them.
Look at the liquid in the vial. It should be clear and colorless. Do not use the vial if the liquid is cloudy or discolored.
Twist off the top of the vial and squeeze all of the liquid into the nebulizer reservoir. If you are using your nebulizer to inhale other medications, ask your doctor or pharmacist if you can place the other medications in the reservoir along with albuterol.
Connect the nebulizer reservoir to the mouthpiece or face mask.
Connect the nebulizer to the compressor.
Place the mouthpiece in your mouth or put on the face mask. Sit in an upright, comfortable position and turn on the compressor.
Breathe in calmly, deeply, and evenly for about 5-15 minutes until mist stops forming in the nebulizer chamber.
Clean your nebulizer regularly. Follow the manufacturer's directions carefully and ask your doctor or pharmacist if you have any questions about cleaning your nebulizer.",How should this medicine be used?,https://medlineplus.gov/druginfo/meds/a682145.html
gabapentin and pregabalin what is the difference?,"Gabapentin, Pregabalin",Comparison,"Lyrica (pregablin) and gabapentin (Neurontin) are anti-epileptic medications used to treat seizures and nerve pain (neuropathic pain).
Gabapentin also is used to treat nerve pain caused by shingles (herpes zoster). || Side effects of gabapentin that are different from Lyrica include:
Difficulty speaking
Viral infections
Fever
Unusual eye movements
Jerky movements
|| Side effects of Lyrica that are different from gabapentin include:
Dry mouth
Constipation
Swelling (edema)
Breast enlargement
Weight gain",Lyrica (pregablin) vs. gabapentin (Neurontin) quick comparison,https://www.medicinenet.com/lyrica_vs_gabapentin/article.htm#lyrica_pregablin_vs_gabapentin_neurontin_quick_comparison
why is pyridostigmine prescribed,Pyridostigmine,Indication,Pyridostigmine is used to decrease muscle weakness resulting from myasthenia gravis.,Why is this medication prescribed?,https://medlineplus.gov/druginfo/meds/a682229.html
what is highest dose of oxybutynin a person can take,Oxybutynin,Dose,"Adults
The usual dose is one 5-mg tablet two to three times a day. The maximum recommended dose is one 5-mg tablet four times a day. A lower starting dose of 2.5 mg two or three times a day is recommended for the frail elderly.

Pediatric patients over 5 years of age
The usual dose is one 5-mg tablet two times a day. The maximum recommended dose is one 5-mg tablet three times a day.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=98526d8f-9f39-d138-1cf9-fa5335bf2ba5
what is brand name of acetaminophen,"Acetaminophen, Codeine Phosphate",Brand names,"Acephen Rectal Suppository®
Feverall Rectal Suppository®
Mapap Rectal Suppository®
Neopap Supprettes Rectal Suppository®
Uniserts Rectal Suppository®
Aceta®¶
Actamin®
Adprin B®
Anacin®
Apacet®
Apara®
Apra®
Conacetol®
Dolono®
Feverall®
Genapap®
Genebs®
Gericet®
Halenol®
Infantaire®
Liquiprin®
Lopap®
Mapap®
Mardol®
Masophen®
Meda Cap®
Pain-Eze®
Panadol®
Panex®
Paramol®
Pediapap®
Q-Pap®
Redutemp®
Ridenol®
Silapap®
S-T Febrol®
Tactinal®
Tempra®
T-Panol®
Tycolene®
Tylenol®
Tylophen®
Uni-Ace®
Vitapap®",Brand names,https://medlineplus.gov/druginfo/meds/a681004.html
ink 2.3 how much coumadine should one take,Coumadine,Dose,"Take COUMADIN exactly as prescribed. Your healthcare provider will adjust your dose from time to time depending on your response to COUMADIN.
You must have regular blood tests and visits with your healthcare provider to monitor your condition.
If you miss a dose of COUMADIN, call your healthcare provider. Take the dose as soon as possible on the same day. Do not take a double dose of COUMADIN the next day to make up for a missed dose.",MEDICATION GUIDE > How should I take COUMADIN?,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d91934a0-902e-c26c-23ca-d5accc4151b6#section-2.3
how about the sexual medicine name,,not_drug_question,,,
how does spiriva work,Spiriva,Action,Tiotropium is in a class of medications called bronchodilators. It works by relaxing and opening the air passages to the lungs to make breathing easier.,Why is this medication prescribed?,https://medlineplus.gov/druginfo/meds/a604018.html
norvasc and depression?,Norvasc,Side effects,"The following events occurred in <1% but >0.1% of patients in controlled clinical trials or under conditions of open trials or marketing experience where a causal relationship is uncertain; they are listed to alert the physician to a possible relationship: || Psychiatric: sexual dysfunction (male4 and female), insomnia, nervousness, depression, abnormal dreams, anxiety, depersonalization.",ADVERSE REACTIONS > Clinical Trials Experience,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b00570ff-4081-4514-b45b-eb6f753450f5
how many days after taking the pill with i start my period,Birth Control Pills,Action,Regular menstrual cycles will return within 3 to 6 months after a woman stops using most hormonal birth control methods.,Information,https://medlineplus.gov/ency/article/007460.htm
how often zoster zoster vaccine needs to be taken,Herpes zoster vaccine,Dose/time,"The Centers for Disease Control and Prevention recommends that healthy adults 50 years and older get the Shingrix vaccine. You need two doses of the vaccine, given 2 to 6 months apart. Another vaccine, Zostavax, may be used in certain cases.",Can shingles be prevented?,https://medlineplus.gov/shingles.html
what is bioflavonoid,Bioflavonoid,Information,"Bioflavonoids are a group of what are called “polyphenolic” plant-derived compounds. They’re also called flavonoids. There are between 4,000 and 6,000 different varieties known. Some are used in medicine, supplements, or for other health purposes.",What are bioflavonoids?,https://www.healthline.com/health/bioflavonoids
what are the symptoms of a human exposed to boric acid powder,Boric Acid Powder,Side effects,"The main symptoms of boric acid poisoning are blue-green vomit, diarrhea, and a bright red rash on the skin. Other symptoms may include:
•SKIN	MAY BE ABSORBED! Redness. May be absorbed through injured skin.	Protective gloves.	Remove contaminated clothes. Rinse and then wash skin with water and soap. Refer for medical attention.
•EYES	Redness. Pain.	Safety spectacles.	First rinse with plenty of water for several minutes (remove contact lenses if easily possible), then take to a doctor.
•INGESTION	Abdominal pain. Convulsions. Diarrhoea. Nausea. Vomiting. Skin rash.	Do not eat, drink, or smoke during work.	Rinse mouth. Refer for medical attention.",Symptoms,https://medlineplus.gov/ency/article/002485.htm
dtap/tdap/td vaccines how often is this due,"DTaP, Tdap, Td",Dose,"Routine Vaccination of Infants and Children, Adolescents, Pregnant Women, and Adults
CDC recommends diphtheria, tetanus, and acellular pertussis vaccination (DTaP for those younger than 7 years of age, and Tdap or Td for those 7 years or older) across the lifespan.

Infants and children should receive 5 doses of DTaP, usually administered at 2, 4, and 6 months, 15 through 18 months, and 4 through 6 years of age. DT can be used for infants and children who should not receive acellular pertussis-containing vaccines.
Adolescents should receive a single dose of Tdap, preferably at 11 to 12 years of age.
Pregnant women should receive a single dose of Tdap during every pregnancy, preferably at 27 through 36 weeks gestation. Tdap is recommended only in the immediate postpartum period before discharge from the hospital or birthing center for new mothers who have never received Tdap before or whose vaccination status is unknown.
Adults should receive a single dose of Td every 10 years. For adults who did not receive Tdap as an adolescent, a dose of Tdap can replace one of the 10-year Td booster doses. (Note: When feasible, Boostrix® should be used for adults 65 years and older; however, either vaccine product administered to a person 65 years or older may be used. Providers should not miss an opportunity to vaccinate persons aged 65 years and older with Tdap. Therefore, providers may administer the Tdap vaccine they have available.)","Routine Vaccination of Infants and Children, Adolescents, Pregnant Women, and Adults",https://www.cdc.gov/vaccines/vpd/dtap-tdap-td/hcp/recommendations.html
who makes this drug nitrofurantoin ?,Nitrofurantoin,Manufacturer,"Procter and Gamble Pharmaceuticals, Inc.",Packager:,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1971e893-5fdb-41e3-a1e9-5e52deed03d1
what is a daily amount of prednisolone eye drops to take,Predinsolone acetate suspension,Dose,"Two drops topically in the eye(s) four times daily. In cases of bacterial infections, concomitant use of anti-infective agents is mandatory. Care should be taken not to discontinue therapy prematurely.",DOSAGE AND AMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d6c3ea4-5189-4f6e-bb6a-c9379f441d7a&audience=consumer
is lyrica the same as gabbentine?,"Gabapentin, Pregabalin",Comparison,"Lyrica (pregablin) and gabapentin (Neurontin) are anti-epileptic medications used to treat seizures and nerve pain (neuropathic pain).
Gabapentin also is used to treat nerve pain caused by shingles (herpes zoster). || Side effects of gabapentin that are different from Lyrica include:
Difficulty speaking
Viral infections
Fever
Unusual eye movements
Jerky movements
|| Side effects of Lyrica that are different from gabapentin include:
Dry mouth
Constipation
Swelling (edema)
Breast enlargement
Weight gain",Lyrica (pregablin) vs. gabapentin (Neurontin) quick comparison,https://www.medicinenet.com/lyrica_vs_gabapentin/article.htm#lyrica_pregablin_vs_gabapentin_neurontin_quick_comparison
how long it takes for withdrawals to go away on oxycodone,Oxycodone,Information,"Withdrawal from oxycodone usually starts within 8-12 hours of taking the drug, and it peaks in the first 72 hours. Symptoms generally subside in about a week, although some of the psychological effects and drug cravings may persist for longer.",Detox and Withdrawal Duration,https://americanaddictioncenters.org/withdrawal-timelines-treatments/oxycodone/
what is a safe dosage for gabapentin?,gabapentin,Dose,"In adults with postherpetic neuralgia, gabapentin capsules therapy may be initiated as a single 300 mg dose on Day 1, 600 mg/day on Day 2 (divided BID), and 900 mg/day on Day 3 (divided TID). The dose can subsequently be titrated up as needed for pain relief to a daily dose of 1800 mg (divided TID). In clinical studies, efficacy was demonstrated over a range of doses from 1800 mg/day to 3600 mg/day with comparable effects across the dose range. Additional benefit of using doses greater than 1800 mg/day was not demonstrated.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0936a88f-b569-49c4-951b-14e8f6273b53
seniors and premarin?,premarin,Usage,There have not been sufficient numbers of geriatric patients involved in studies utilizing PREMARIN to determine whether those over 65 years of age differ from younger subjects in their response to PREMARIN.,USE IN SPECIFIC POPULATIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=258e1602-a3cf-4ccc-ca80-73dbbfb812ff#S8.5
can mucinex fast-max products be used with other over-the-counter (otc) or prescription medications?,mucinex fast-max,Interaction,Do not use with any other drug containing acetaminophen (prescription or nonprescription). ,WARNINGS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fe7eeb71-e219-4c84-ac06-98c3a40b14dc
how opioids reduce pain,opioids,Action,"Opioids bind to and activate opioid receptors on cells located in many areas of the brain, spinal cord, and other organs in the body, especially those involved in feelings of pain and pleasure. When opioids attach to these receptors, they block pain signals sent from the brain to the body and release large amounts of dopamine throughout the body.",How do prescription opioids affect the brain?,https://www.drugabuse.gov/publications/drugfacts/prescription-opioids
how to stop taking buprenorphine,buprenorphine,Stopping/tapering,The decision to discontinue therapy with buprenorphine and naloxone or buprenorphine after a period of maintenance should be made as part of a comprehensive treatment plan. Advise patients of the potential to relapse to illicit drug use following discontinuation of opioid agonist/partial agonist medication-assisted treatment. Taper patients to reduce the occurrence of withdrawal signs and symptoms [See Warnings and Precautions (5.7)].,DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1bf8b35a-b769-465c-a2f8-099868dfcd2f#ID_43381dee-f39f-48c1-a88a-fd47063cedc2
what is the side effect of bp medicine on brain?,blood pressure medicine,Side effects,"Cough
    Diarrhea or constipation
    Dizziness or lightheadedness
    Erection problems
    Feeling nervous
    Feeling tired, weak, drowsy, or a lack of energy
    Headache
    Nausea or vomiting
    Skin rash
    Weight loss or gain without trying",SIDE EFFECTS OF BLOOD PRESSURE MEDICINES,https://medlineplus.gov/ency/article/007484.htm
qvar 40mcg what is it for,qvar,Indication,QVAR® is indicated in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older.,INDICATIONS AND USAGE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3bac8a9b-f6c5-47df-a593-ece41b53f09b
"fentanyl ""patch,"" what if ""doesn't"" stick well",fentanyl,Usage,"If problems with adhesion of the fentanyl transdermal system patch occur, the edges of the patch may be taped with first aid tape. If problems with adhesion persist, the patch may be overlayed with a transparent adhesive film dressing.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9baf2912-9d0f-412a-8fbf-617f6a4f91ed
what size pill is risedronate,risedronate,Appearance,12mm,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=563c6d6d-56df-43a7-a7aa-709c5ea3cdbe
what is in the pill montelukast?,montelukast,Ingredient,"MONTELUKAST SODIUM; CROSCARMELLOSE SODIUM; HYDROXYPROPYL CELLULOSE, LOW SUBSTITUTED; LACTOSE MONOHYDRATE; MAGNESIUM STEARATE; CELLULOSE, MICROCRYSTALLINE; FERROSOFERRIC OXIDE; HYPROMELLOSES; FERRIC OXIDE RED; FERRIC OXIDE YELLOW; TITANIUM DIOXIDE",INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ccbbf0d6-efd9-4fdd-9e7b-e3d293062609
what meds are in the pill montelukast?,montelukast,Ingredient,ACTIVE INGREDIENT: MONTELUKAST SODIUM (UNII: U1O3J18SFL) (MONTELUKAST - UNII:MHM278SD3E),INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ccbbf0d6-efd9-4fdd-9e7b-e3d293062609
how often do you take flu vaccine?,flu vaccine,Usage/time,Everyone 6 months of age and older should get a flu vaccine every season.,Summary,https://medlineplus.gov/flushot.html
hyptotension caused by lexapro?,lexapro,Side effects,"Vascular Disorders: deep vein thrombosis, flushing, hypertensive crisis, hypotension, orthostatic hypotension, phlebitis, thrombosis.",ADVERSE REACTIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=13bb8267-1cab-43e5-acae-55a4d957630a
how to safely stop fluvoxamine malate,fluvoxamine maleate,Stopping/tapering,"Symptoms associated with discontinuation of other SSRIs and SNRIs have been reported (see PRECAUTIONS). Patients should be monitored for these symptoms when discontinuing treatment. A gradual reduction in the dose rather than abrupt cessation is recommended whenever possible. If intolerable symptoms occur following a decrease in the dose or upon discontinuation of treatment, then resuming the previously prescribed dose may be considered. Subsequently, the physician may continue decreasing the dose but at a more gradual rate.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=85b61f83-ab47-470d-8673-02fea29247be
dydrogesterone tablets 10 mg is for what purpose,dydrogesterone,Indication,"Dydrogesterone, sold under the brand name Duphaston among others, is a progestin medication which is used for a variety of indications, including threatened or recurrent miscarriage during pregnancy, dysfunctional bleeding, infertility due to luteal insufficiency, dysmenorrhea, endometriosis, secondary amenorrhea, irregular cycles, premenstrual syndrome, and as a component of menopausal hormone therapy.",,https://en.wikipedia.org/wiki/Dydrogesterone
how often do you need a shingles vaccine,shingles vaccine,Usage/time,The recommended schedule for live shingles vaccine is a single dose for adults 60 years of age and older.,Shingles Vaccine (live),https://www.cdc.gov/vaccines/hcp/vis/vis-statements/shingles.html
how often do you need a shingles vaccine,shingles vaccine,Usage/time,"Shingles Vaccine (recombinant)  Two doses, 2 to 6 months apart, are recommended for adults 50 and older.  This vaccine is also recommended for people who have already gotten the live shingles vaccine (Zostavax). There is no live virus in this vaccine.",Shingles Vaccine (recombinant),https://www.cdc.gov/vaccines/hcp/vis/vis-statements/shingles-recombinant.html
when is the best tme to take magnesium citrate tab.,magnesium citrate,Usage,It is best to take magnesium supplements with a meal to reduce stomach upset and diarrheaunless otherwise directed by the product instructions or your doctor.,How to use Magnesium Citrate Tablet,https://www.webmd.com/drugs/2/drug-522-5106/magnesium-citrate-oral/magnesium-supplement-oral/details
why did my doctor give me levetiracetam,levetiracetam,Indication,Levetiracetam Extended-release Tablets is indicated as adjunctive therapy in the treatment of partial onset seizures in patients 12 years of age and older with epilepsy.,INDICATIONS AND USAGE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aeb36add-e083-49be-9c3c-e76593c70d61
hydrochlorothiazide made by unichem is it safe?,hydrochlorothiazide,Side effects,"Accord Healthcare Inc. is voluntarily recalling One lot (Lot PW05264 – 46632 Bottles, NDC 16729-182-01) of Hydrochlorothiazide Tablets USP, 12.5 mg, to the consumer level.",,https://www.fda.gov/Safety/Recalls/ucm618583.htm
how to use spiriva,spiriva,Usage,"For oral inhalation only. Do not swallow SPIRIVA capsules, as the intended effects on the lungs will not be obtained. The contents of the SPIRIVA capsules should only be used with the HANDIHALER device ",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=820839ef-e53d-47e8-a3b9-d911ff92e6a9
how often should you use a dulera inhaler,dulera,Usage/time,DULERA should be administered as two inhalations twice daily every day (morning and evening) by the orally inhaled route (see PATIENT INSTRUCTIONS FOR USE in the Patient Information leaflet).,DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=116464ce-cfd8-4b9f-8b5a-3a114b6ff2b1
what exactly is butalbital,butalbital,Information,"Butalbital, 5-allyl-5-isobutylbarbituric acid, is a barbiturate with an intermediate duration of action.",,https://pubchem.ncbi.nlm.nih.gov/compound/butalbital
testosterone over counter?,testosterone,Information,"NATURAL TESTOSTERONE- avena sativa. epimedium, lycopodium clavatum, damiana, testosterone, agnus castus spray",Label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2e6ce46-6729-4a63-90db-27e933379f45&audience=consumer
what are beta blockers,beta blockers,Information,"Beta blockers, also known as beta-adrenergic blocking agents, are medications that reduce your blood pressure. Beta blockers work by blocking the effects of the hormone epinephrine, also known as adrenaline.",,https://www.mayoclinic.org/diseases-conditions/high-blood-pressure/in-depth/beta-blockers/ART-20044522?p=1
is viagra a treament for cor pulmonale?,Viagra,Indication,"Sildenafil (Revatio, Viagra) and tadalafil (Cialis, Adcirca) are sometimes used to treat pulmonary hypertension.",Medications,https://www.mayoclinic.org/diseases-conditions/pulmonary-hypertension/diagnosis-treatment/drc-20350702
is lasix the only diuretic drug for fluid build up in heart failure patients?,Lasix,Indication,"Mild congestive heart failure is initially managed with a thiazide diuretic [11]. However, loop diuretics (e.g., furosemide, torsemide, or bumetanide) are the principal drugs used in the treatment of heart failure [22].",2. Use of Diuretics in Heart Failure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4532861/
is lasix the only diuretic drug for fluid build up in heart failure patients?,diuretic drug for fluid build up,Indication,"Commonly prescribed include: Furosemide (Lasix), Bumetanide (Bumex), Torsemide (Demadex), Chlorothiazide (Diuril), Amiloride (Midamor Chlorthalidone (Hygroton), Hydrochlorothiazide or HCTZ (Esidrix, Hydrodiuril), Indapamide (Lozol), Metolazone (Zaroxolyn), Triamterene (Dyrenium). What this type of medication does:  Causes the body to rid itself of excess fluids and sodium through urination. Helps to relieve the heart's workload. Also decreases the buildup of fluid in the lungs and other parts of the body, such as the ankles and legs. Different diuretics remove fluid at varied rates and through different methods.",Diuretics,http://www.heart.org/HEARTORG/Conditions/HeartFailure/PreventionTreatmentofHeartFailure/Medications-for-Heart-Failure_UCM_306342_Article.jsp#.W84ed0tKhaQ
what can i do if unusual bruising appears after injecting enoxaparin,enoxaparin,Side effects,The local application of cold-hot packs is more effective on reducing bruises following enoxaparin sodium injections when compared with local cold pack application alone,CONCLUSIONS,https://www.ncbi.nlm.nih.gov/pubmed/27207493
what effect if take high cholesteron pill,high cholesterol medication,Action,"If diet and exercise don't reduce your cholesterol levels, you may need to take cholesterol medicine. Often, this medicine is a statin. Statins interfere with the production of cholesterol in your liver. They lower LDL (bad) cholesterol levels and raise HDL (good) cholesterol levels. This can slow the formation of plaques in your arteries.",Summary,https://medlineplus.gov/statins.html
will anti viral drugs activate my angio edema condition?,antiviral drugs,Side effects,"[Antiviral] Treatment was discontinued prematurely due to patient-reported adverse effects in 4 (0.8%) patients, including angioedema (n = 1) [0.2%]",Treatment outcomes,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-017-0969-3
what is the length of entecavir treatment,entecavir,Usage/duration,The optimal duration of treatment with entecavir tablets for patients with chronic hepatitis B virus infection and the relationship between treatment and long-term outcomes such as cirrhosis and hepatocellular carcinoma are unknown.,DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=def332bf-2906-4a6c-b85d-dfb56bb94312
how fast does teh medications take to work amlodipine,amlodipine,Action/time,"After oral administration of therapeutic doses of amlodipine besylate, absorption produces peak plasma concentrations between 6 and 12 hours.",12.3 Pharmacokinetics,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1cec7a02-b7a5-49e1-ab64-3a4dab4149d2
are tobacco and nicotine products addictive?,nicotine,Side effects,Is nicotine addictive? Yes. Most smokers use tobacco regularly because they are addicted to nicotine.,,https://www.drugabuse.gov/publications/research-reports/tobacco-nicotine-e-cigarettes/nicotine-addictive
how does sutent affect creatine,Sutent,Side effects,"Among patients receiving sunitinib, the incidence of all grade increased creatinine levels is 12.4% to 65.6%",INTRODUCTION,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3932394/
how much b-12 is needed in an adult/month,vitamin B12,Dose,Average daily recommended amounts … Adults 2.4 mcg,How much vitamin B12 do I need?,https://ods.od.nih.gov/pdf/factsheets/VitaminB12-Consumer.pdf
how long does heroin stay in toxicology test,heroin,Action/time,"Most of the time, heroin is no longer detectable in a person’s urine after just 2 days. However, certain tests have been known to have a positive result for this drug for up to 7 days.",Drug Testing for Heroin,https://americanaddictioncenters.org/heroin-treatment/how-long-in-system/
how dangerous is cutting nifedipine er cc tablets,nifedipine ER,Usage,"Nifedipine Extended-release Tablets should be swallowed whole. Do not chew, divide or crush tablets.",PRECAUTIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d1a78ff2-7672-3e69-00ef-63d203c80484
what is the normal dose of clindamycin,clindamycin,Dose,Adults: Serious infections - 150 to 300 mg every 6 hours. More severe infections - 300 to 450 mg every 6 hours.,DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=965e55bd-2b2c-06bb-26e0-92034741e2ed
how do you pronounce prednisolone,prednisolone,Pronounce name,\pred-ˈni-sə-ˌlōn  \,,https://www.merriam-webster.com/dictionary/prednisolone
how to administer insulin,insulin,Usage,"Inject NOVOLOG subcutaneously within 5-10 minutes before a meal into the abdominal area, thigh, buttocks or upper arm.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3a1e73a2-3009-40d0-876c-b4cb2be56fc5
what dosage amounts does aripiprazole,aripiprazole,Dose,"The recommended starting and target dose for aripiprazole is 10 mg/day or 15 mg/day administered on a once-a-day schedule without regard to meals. Aripiprazole has been systematically evaluated and shown to be effective in a dose range of 10 mg/day to 30 mg/day, when administered as the tablet formulation; however, doses higher than 10 mg/day or 15 mg/day were not more effective than 10 mg/day or 15 mg/day.",DOSAGE AND ADMINISTRATION,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=394ea4a4-3991-4f98-b38f-56e9335d66b3
how long does ecstasy or mda leave your body,ecstacy,Action/time,"In terms of its metabolism, research suggests that MDMA taken by mouth reaches its maximal blood concentration in about two hours. As ecstasy is metabolized, it is secreted into the urine and can be present for up to two days.",,https://www.verywellmind.com/how-long-does-ecstasy-stay-in-your-system-80255
can spironolactone e used when talking furosemide,spironolactone + furosemide,Interaction,"The combination product, in a daily dose of 1 or 2 capsules, was found useful and well tolerated in the management of congestive heart failure.",ABSTRACT,https://www.ncbi.nlm.nih.gov/pubmed/3714755
how long should i take dutasteride,dutasteride,Usage/duration,We strongly recommend that physicians discuss with their patients these potential serious adverse effects of long-term dutasteride therapy prior to instituting this form of treatment.,ABSTRACT,https://www.ncbi.nlm.nih.gov/pubmed/28632494
what is in norvasc,norvasc,Ingredient,"ACTIVE INGREDIENT-AMLODIPINE BESYLATE; INACTIVE INGREDIENTS-MICROCRYSTALLINE CELLULOSE, ANHYDROUS DIBASIC CALCIUM PHOSPHATE, SODIUM STARCH GLYCOLATE TYPE A POTATO, MAGNESIUM STEARATE",INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=abd6a2ca-40c2-485c-bc53-db1c652505ed
how soon does losartan afffect blood pressure,losartan,Action/time,"Hypertension … Peak (6 hour) effects were uniformly, but moderately, larger than trough effects,",CLINICAL STUDIES,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2f2b6c6-0ab1-483f-b4a2-78dfe3200153
tudorza pressair is what schedule drug,Tudorza Pressair,Information,DEA Schedule: None,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=acdd5932-375b-4966-8a06-3806ab74c36d
should metoprolol and lexapro be taken together?,metoprolol + Lexapro,Interaction,Coadministration of Lexapro and metoprolol had no clinically significant effects on blood pressure or heart rate.,DRUG INTERACTIONS,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=13bb8267-1cab-43e5-acae-55a4d957630a
